Date,Price,Open,High,Low,Vol.,Change %
2021-02-04,36.85,36.2,37.2,36.2,18660000.0,1.1
2021-02-03,36.45,35.5,36.95,35.5,3180000.0,2.53
2021-02-02,35.55,35.5,35.8,35.05,10440000.0,1.14
2021-02-01,35.15,35.8,35.85,34.95,10610000.0,-1.98
2021-01-29,35.86,36.25,36.25,35.5,3600000.0,-0.88
2021-01-28,36.18,36.5,36.5,35.5,4470000.0,-0.58
2021-01-27,36.39,36.4,36.5,36.2,14320000.0,-0.38
2021-01-26,36.53,36.3,37.0,36.15,2089999.9999999998,0.27
2021-01-25,36.43,35.5,36.75,35.5,10100000.0,2.53
2021-01-22,35.53,35.5,36.0,35.0,3040000.0,0.59
2021-01-21,35.32,35.6,35.9,34.95,3980000.0,-1.48
2021-01-20,35.85,36.25,36.35,35.05,4650000.0,-1.51
2021-01-19,36.4,36.3,36.5,36.2,3440000.0,0.11
2021-01-18,36.36,36.5,36.5,36.0,8330000.0,-0.55
2021-01-15,36.56,36.6,36.6,36.25,13230000.0,0.16
2021-01-14,36.5,35.0,37.0,35.0,8380000.000000001,4.02
2021-01-13,35.09,35.0,35.25,35.0,2770000.0,0.49
2021-01-12,34.92,34.5,35.05,34.25,7780000.0,-0.14
2021-01-11,34.97,34.5,35.0,34.5,3910000.0,-0.03
2021-01-08,34.98,35.0,35.0,34.75,4860000.0,0.03
2021-01-07,34.97,35.0,35.05,34.6,2089999.9999999998,-0.06
2021-01-06,34.99,35.0,35.05,34.5,7920000.0,1.72
2021-01-05,34.4,34.3,35.0,34.1,7740000.0,0.47
2021-01-04,34.24,34.0,34.5,34.0,3590000.0,-0.03
2020-12-31,34.25,34.25,34.5,34.15,1340000.0,0.68
2020-12-30,34.02,34.4,34.4,33.95,4019999.9999999995,-0.15
2020-12-29,34.07,34.0,34.25,33.9,898300.0,-0.06
2020-12-28,34.09,34.0,34.2,33.85,1830000.0,0.29
2020-12-24,33.99,33.85,34.1,33.85,3090000.0,0.03
2020-12-23,33.98,34.0,34.1,33.5,3050000.0,0.32
2020-12-22,33.87,33.5,34.05,33.2,4500000.0,1.77
2020-12-21,33.28,33.0,33.8,33.0,1360000.0,-0.8
2020-12-18,33.55,33.0,33.95,32.75,4550000.0,1.94
2020-12-17,32.91,32.8,33.5,32.5,5220000.0,0.37
2020-12-16,32.79,32.75,33.0,32.5,6440000.0,-0.76
2020-12-15,33.04,33.0,33.25,32.75,6860000.0,-0.3
2020-12-14,33.14,32.8,33.5,32.7,2530000.0,0.61
2020-12-11,32.94,32.8,33.0,32.1,4210000.0,0.95
2020-12-10,32.63,32.6,32.95,31.8,23690000.0,-0.97
2020-12-09,32.95,32.8,33.0,32.55,9000000.0,-0.15
2020-12-08,33.0,33.05,33.1,32.7,4130000.0,-0.03
2020-12-07,33.01,33.0,33.5,32.5,1240000.0,-1.43
2020-12-04,33.49,33.1,33.75,32.35,24610000.0,1.48
2020-12-03,33.0,32.95,33.1,32.5,22940000.0,0.12
2020-12-02,32.96,32.5,33.0,32.3,13890000.0,1.98
2020-12-01,32.32,32.7,33.0,32.05,10670000.0,-1.16
2020-11-30,32.7,32.0,33.45,32.0,23700000.0,2.44
2020-11-27,31.92,32.2,32.2,31.75,3910000.0,-0.25
2020-11-26,32.0,32.0,32.15,31.75,2950000.0,0.0
2020-11-25,32.0,32.0,32.3,31.75,5310000.0,0.95
2020-11-24,31.7,32.0,32.1,31.5,3460000.0,-0.91
2020-11-23,31.99,31.95,32.0,31.5,2240000.0,-0.06
2020-11-20,32.01,31.5,32.2,31.0,19620000.0,1.81
2020-11-19,31.44,32.0,32.0,31.3,1060000.0,-1.63
2020-11-18,31.96,32.0,32.0,31.7,3010000.0,-0.28
2020-11-17,32.05,32.0,32.1,31.5,4830000.0,-0.09
2020-11-16,32.08,31.7,32.35,31.5,2510000.0,0.88
2020-11-13,31.8,30.85,32.0,30.85,3270000.0,0.32
2020-11-12,31.7,32.0,32.5,31.5,10730000.0,-0.31
2020-11-11,31.8,30.5,32.5,30.3,8440000.0,2.75
2020-11-10,30.95,31.0,31.35,30.8,6330000.0,0.65
2020-11-09,30.75,31.25,31.3,30.0,2280000.0,-1.76
2020-11-06,31.3,31.0,31.5,31.0,3200000.0,0.16
2020-11-05,31.25,31.1,31.3,31.0,5520000.0,0.32
2020-11-04,31.15,31.25,31.25,30.3,9490000.0,-0.32
2020-11-03,31.25,30.85,31.7,30.7,15700000.0,0.0
2020-11-02,31.25,31.2,31.6,31.0,7890000.0,1.3
2020-10-30,30.85,30.3,31.15,30.1,6720000.0,1.15
2020-10-29,30.5,30.5,30.8,30.1,4670000.0,-0.33
2020-10-28,30.6,30.8,30.8,30.5,5810000.0,0.0
2020-10-27,30.6,30.55,30.8,30.5,5360000.0,0.33
2020-10-26,30.5,30.5,30.95,30.1,666900.0,-1.45
2020-10-23,30.95,30.65,31.2,30.5,13400000.0,0.98
2020-10-22,30.65,30.25,31.0,30.25,1420000.0,1.32
2020-10-21,30.25,30.1,30.55,30.1,6680000.0,0.5
2020-10-19,30.1,30.1,30.2,30.05,2049999.9999999998,0.0
2020-10-16,30.1,30.0,30.2,30.0,2400000.0,0.17
2020-10-15,30.05,30.0,30.1,30.0,102800.0,-0.17
2020-10-14,30.1,30.15,30.45,30.0,12380000.0,-0.17
2020-10-13,30.15,30.0,30.5,30.0,3840000.0,0.33
2020-10-12,30.05,30.05,30.1,30.0,3140000.0,-0.17
2020-10-09,30.1,30.05,30.2,30.0,5910000.0,0.17
2020-10-08,30.05,30.15,30.5,30.0,6300000.0,-1.48
2020-10-07,30.5,30.0,30.6,30.0,3280000.0,1.84
2020-10-06,29.95,30.0,30.15,29.9,5090000.0,-0.17
2020-10-05,30.0,29.9,30.05,29.7,1100000.0,0.0
2020-10-02,30.0,30.0,30.15,29.8,4290000.0,0.67
2020-10-01,29.8,30.0,30.05,29.7,1950000.0,0.34
2020-09-30,29.7,29.95,30.25,29.7,16260000.000000002,-0.34
2020-09-29,29.8,29.55,30.0,29.5,1220000.0,0.0
2020-09-28,29.8,30.0,30.05,29.5,5390000.0,-0.83
2020-09-25,30.05,30.0,30.05,29.5,12090000.0,0.17
2020-09-24,30.0,29.1,30.1,29.1,10560000.0,0.0
2020-09-23,30.0,30.05,30.4,29.35,13820000.0,-0.17
2020-09-22,30.05,29.9,30.4,29.5,9990000.0,0.5
2020-09-21,29.9,30.0,30.0,29.3,1430000.0,-0.33
2020-09-18,30.0,29.2,30.0,29.0,5890000.0,0.0
2020-09-17,30.0,30.0,30.15,29.5,115840000.0,-0.33
2020-09-16,30.1,30.0,30.5,29.8,13630000.0,-0.17
2020-09-15,30.15,29.9,30.25,29.9,5080000.0,0.67
