ds,y
2012-06-11,3.4
2012-06-12,3.45
2012-06-13,3.4
2012-06-14,3.4
2012-06-15,3.4
2012-06-18,3.45
2012-06-19,3.45
2012-06-20,3.5
2012-06-21,3.5
2012-06-22,3.5
2012-06-25,3.5
2012-06-26,3.5
2012-06-27,3.45
2012-06-28,3.4
2012-06-29,3.45
2012-07-02,3.6
2012-07-03,3.65
2012-07-04,3.55
2012-07-05,3.55
2012-07-06,3.56
2012-07-09,3.55
2012-07-10,3.55
2012-07-11,3.55
2012-07-12,3.6
2012-07-13,3.55
2012-07-16,3.6
2012-07-17,3.65
2012-07-18,3.75
2012-07-19,3.85
2012-07-20,3.9
2012-07-23,3.9
2012-07-24,3.85
2012-07-25,3.95
2012-07-26,3.95
2012-07-27,3.9
2012-07-30,3.8
2012-07-31,3.8
2012-08-01,3.8
2012-08-02,3.85
2012-08-03,3.95
2012-08-06,3.85
2012-08-07,3.85
2012-08-08,3.85
2012-08-09,3.9
2012-08-10,3.8
2012-08-13,3.75
2012-08-14,3.75
2012-08-15,3.75
2012-08-16,3.75
2012-08-17,3.75
2012-08-21,3.75
2012-08-22,3.85
2012-08-23,3.9
2012-08-24,3.9
2012-08-27,3.9
2012-08-28,3.85
2012-08-29,3.8
2012-08-30,3.85
2012-08-31,3.8
2012-09-03,3.9
2012-09-04,3.95
2012-09-05,3.95
2012-09-06,3.95
2012-09-07,4.0
2012-09-10,4.05
2012-09-11,4.25
2012-09-12,4.25
2012-09-13,4.15
2012-09-14,3.95
2012-09-17,4.0
2012-09-18,4.0
2012-09-19,4.0
2012-09-20,4.0
2012-09-24,4.0
2012-09-25,4.0
2012-09-26,4.0
2012-09-27,4.05
2012-09-28,4.1
2012-10-01,4.05
2012-10-02,4.05
2012-10-03,4.05
2012-10-04,4.0
2012-10-05,4.05
2012-10-08,4.0
2012-10-09,4.05
2012-10-10,4.05
2012-10-11,4.1
2012-10-12,4.1
2012-10-15,4.1
2012-10-16,4.1
2012-10-17,4.15
2012-10-18,4.2
2012-10-19,4.2
2012-10-22,4.25
2012-10-23,4.25
2012-10-24,4.25
2012-10-25,4.35
2012-10-26,4.45
2012-10-29,4.4
2012-10-30,4.4
2012-10-31,4.4
2012-11-01,4.35
2012-11-02,4.35
2012-11-05,4.35
2012-11-06,4.35
2012-11-07,4.45
2012-11-08,4.45
2012-11-09,4.8
2012-11-12,4.8
2012-11-13,4.7
2012-11-14,4.55
2012-11-15,4.6
2012-11-16,4.65
2012-11-19,4.6
2012-11-20,4.75
2012-11-21,4.85
2012-11-22,4.95
2012-11-23,5.0
2012-11-26,5.2
2012-11-27,5.0
2012-11-28,4.9
2012-11-29,4.9
2012-11-30,5.0
2012-12-03,5.05
2012-12-04,5.05
2012-12-05,5.0
2012-12-06,5.0
2012-12-07,5.05
2012-12-10,5.05
2012-12-11,5.0
